Matricola;Cognome;Nome;DataNascita;LuogoNascita;Via;Cap;Citta;SiglaProvincia;Telefono;Email;TitoloStudio
10027;Squarotti;Matteo;28/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000027;squarotti.matteo@studenti.its.net;Diploma
10028;Chiartano;Pietro;29/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000028;chiartano.pietro@studenti.its.net;Diploma
10029;Oliva;Simone;30/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000029;oliva.simone@studenti.its.net;Diploma
10030;Capulong;Lois Ira Maniulit;31/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000030;capulong.loisiramaniulit@studenti.its.net;Diploma
10031;Carena;Paolo;01/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000031;carena.paolo@studenti.its.net;Diploma
10032;Avondo;Lorenzo;02/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000032;avondo.lorenzo@studenti.its.net;Diploma
10033;Cionchi;Leonardo;03/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000033;cionchi.leonardo@studenti.its.net;Diploma
10034;Cat-Genova;Elisa;04/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000034;cat-genova.elisa@studenti.its.net;Diploma
10035;Maldera;Riccardo;05/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000035;maldera.riccardo@studenti.its.net;Diploma
10036;Quaglia;Giacomo;06/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000036;quaglia.giacomo@studenti.its.net;Diploma
10037;Borio;Marcello;07/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000037;borio.marcello@studenti.its.net;Diploma
10038;Alineri;Alberto;08/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000038;alineri.alberto@studenti.its.net;Diploma
10039;Marziano;Matteo;09/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000039;marziano.matteo@studenti.its.net;Diploma
10040;Nicolotti;Cristian;10/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000040;nicolotti.cristian@studenti.its.net;Diploma
10041;Parisi;Lorenzo Giuseppe;11/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000041;parisi.lorenzogiuseppe@studenti.its.net;Diploma
10042;Samime;Assia;12/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000042;samime.assia@studenti.its.net;Diploma
10043;Aimino;Alex Enrico;13/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000043;aimino.alexenrico@studenti.its.net;Diploma
10044;Saldana Moreno;Stefano Enanias;14/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000044;saldanamoreno.stefanoenanias@studenti.its.net;Diploma
10045;Stella;Simone;15/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000045;stella.simone@studenti.its.net;Diploma
10046;Cirillo;Andrea;16/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000046;cirillo.andrea@studenti.its.net;Diploma
10047;Astolfi;Marco;17/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000047;astolfi.marco@studenti.its.net;Diploma
10048;Giudilli;Matteo;18/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000048;giudilli.matteo@studenti.its.net;Diploma
10049;Crivellari;Marika;19/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000049;crivellari.marika@studenti.its.net;Diploma
10050;Niero;Dario;20/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000050;niero.dario@studenti.its.net;Diploma
10051;Rapelli;Riccardo;21/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000051;rapelli.riccardo@studenti.its.net;Diploma
10052;Jicmon;Paul Sebastian;22/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000052;jicmon.paulsebastian@studenti.its.net;Diploma
10053;Tullio;Alessia;23/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000053;tullio.alessia@studenti.its.net;Diploma
10054;Addesa;Umberto;24/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000054;addesa.umberto@studenti.its.net;Diploma
10055;Cipolletta;Ludovico;25/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000055;cipolletta.ludovico@studenti.its.net;Diploma
10056;Frau;Andrea;26/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000056;frau.andrea@studenti.its.net;Diploma
10057;Mainardi;Luca;27/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000057;mainardi.luca@studenti.its.net;Diploma
10058;Antal;Andrei Iulian;28/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000058;antal.andreiiulian@studenti.its.net;Diploma
10059;Marabiso;Matteo;29/02/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000059;marabiso.matteo@studenti.its.net;Diploma
10060;Toso;Federico;01/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000060;toso.federico@studenti.its.net;Diploma
10061;Dedekbayeva;Damira;02/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000061;dedekbayeva.damira@studenti.its.net;Diploma
10062;Accossato;Daniele;03/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000062;accossato.daniele@studenti.its.net;Diploma
10063;Sommer;Matteo Sebastian;04/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000063;sommer.matteosebastian@studenti.its.net;Diploma
10064;Caria;Simone;05/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000064;caria.simone@studenti.its.net;Diploma
10065;Leoni;Fabio;06/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000065;leoni.fabio@studenti.its.net;Diploma
10066;Potosi Ccuno;Brian Junior;07/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000066;potosiccuno.brianjunior@studenti.its.net;Diploma
10067;Revelli;Alessandro;08/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000067;revelli.alessandro@studenti.its.net;Diploma
10068;Furio;Antonio Marco;09/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000068;furio.antoniomarco@studenti.its.net;Diploma
10069;Cangialosi;Francesco;10/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000069;cangialosi.francesco@studenti.its.net;Diploma
10070;Bertolino;Alessandro;11/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000070;bertolino.alessandro@studenti.its.net;Diploma
10071;Caglioti;Andrea;12/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000071;caglioti.andrea@studenti.its.net;Diploma
10072;Femia;Rossella;13/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000072;femia.rossella@studenti.its.net;Diploma
10073;Gai;Giorgio;14/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000073;gai.giorgio@studenti.its.net;Diploma
10074;Cafasso;Giovanni;15/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000074;cafasso.giovanni@studenti.its.net;Diploma
10075;Russo;Giada;16/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000075;russo.giada@studenti.its.net;Diploma
10076;Boero;Francesco;17/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000076;boero.francesco@studenti.its.net;Diploma
10077;Palmisano;Alberto;18/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000077;palmisano.alberto@studenti.its.net;Diploma
10078;Olivero;Alessandro;19/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000078;olivero.alessandro@studenti.its.net;Diploma
10079;Tosetto;Matteo;20/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000079;tosetto.matteo@studenti.its.net;Diploma
10080;Benedetto;Luca;21/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000080;benedetto.luca@studenti.its.net;Diploma
10081;Carrieri;Riccardo;22/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000081;carrieri.riccardo@studenti.its.net;Diploma
10082;Drago;Timothy;23/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000082;drago.timothy@studenti.its.net;Diploma
10083;Luttati;Stefano;24/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000083;luttati.stefano@studenti.its.net;Diploma
10084;Marteddu;Mattia;25/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000084;marteddu.mattia@studenti.its.net;Diploma
10085;Peccerella;Mattia;26/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000085;peccerella.mattia@studenti.its.net;Diploma
10086;Cataldo;Francesco;27/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000086;cataldo.francesco@studenti.its.net;Diploma
10087;Vacca;Mattia;28/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000087;vacca.mattia@studenti.its.net;Diploma
10088;Castellano;Alessandro;29/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000088;castellano.alessandro@studenti.its.net;Diploma
10089;Zanotti;Alberto;30/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000089;zanotti.alberto@studenti.its.net;Diploma
10090;Murta;Alessio;31/03/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000090;murta.alessio@studenti.its.net;Diploma
10091;Fenutza;Virginia;01/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000091;fenutza.virginia@studenti.its.net;Diploma
10092;Biancalana;Alessio;02/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000092;biancalana.alessio@studenti.its.net;Diploma
10093;Di lorenzo;Giulia;03/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000093;dilorenzo.giulia@studenti.its.net;Diploma
10094;Notarrigo;Clelia;04/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000094;notarrigo.clelia@studenti.its.net;Diploma
10095;Santo;Federico;05/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000095;santo.federico@studenti.its.net;Diploma
10096;Massimo;Rebecca;06/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000096;massimo.rebecca@studenti.its.net;Diploma
10097;Ruscigno;Francesca;07/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000097;ruscigno.francesca@studenti.its.net;Diploma
10098;Toffanello;Lorenzo;08/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000098;toffanello.lorenzo@studenti.its.net;Diploma
10099;Bisi;Roberta;09/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000099;bisi.roberta@studenti.its.net;Diploma
10100;Edelman;Yael;10/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000100;edelman.yael@studenti.its.net;Diploma
10101;Libro;Nicole;11/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000101;libro.nicole@studenti.its.net;Diploma
10102;Libro;Sofia;12/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000102;libro.sofia@studenti.its.net;Diploma
10103;Galluzzi;Andrea Nives;13/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000103;galluzzi.andreanives@studenti.its.net;Diploma
10104;Aurigemma;Alessio;14/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000104;aurigemma.alessio@studenti.its.net;Diploma
10105;Celenta;Giulio;15/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000105;celenta.giulio@studenti.its.net;Diploma
10106;D'ascanio;Sophie;16/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000106;dascanio.sophie@studenti.its.net;Diploma
10107;Gulino;Diego;17/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000107;gulino.diego@studenti.its.net;Diploma
10108;Pisciottano;Jacopo;18/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000108;pisciottano.jacopo@studenti.its.net;Diploma
10109;Paladino;Andrea;19/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000109;paladino.andrea@studenti.its.net;Diploma
10110;Ceretto giannone;Greta;20/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000110;cerettogiannone.greta@studenti.its.net;Diploma
10111;Sivolapova;Alisa;21/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000111;sivolapova.alisa@studenti.its.net;Diploma
10112;Binello;Giorgio;22/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000112;binello.giorgio@studenti.its.net;Diploma
10113;Bottoni;Gabriele;23/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000113;bottoni.gabriele@studenti.its.net;Diploma
10114;De stefano;Christian;24/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000114;destefano.christian@studenti.its.net;Diploma
10115;Farruggia;Andrea;25/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000115;farruggia.andrea@studenti.its.net;Diploma
10116;Garcia pereira;Aaron Enrique;26/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000116;garciapereira.aaronenrique@studenti.its.net;Diploma
10117;Milazzo;Beatrice;27/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000117;milazzo.beatrice@studenti.its.net;Diploma
10118;Pereira diaz;Julio Alfonzo;28/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000118;pereiradiaz.julioalfonzo@studenti.its.net;Diploma
10119;Ricauda aimonino;Francesco;29/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000119;ricaudaaimonino.francesco@studenti.its.net;Diploma
10120;Devers;Greta;30/04/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000120;devers.greta@studenti.its.net;Diploma
10121;Di virgilio;Morena;01/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000121;divirgilio.morena@studenti.its.net;Diploma
10122;Lazzarin;Mattia;02/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000122;lazzarin.mattia@studenti.its.net;Diploma
10123;Loggetta;Emma;03/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000123;loggetta.emma@studenti.its.net;Diploma
10124;Maffei;Alessio;04/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000124;maffei.alessio@studenti.its.net;Diploma
10125;Mosso;Mattia;05/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000125;mosso.mattia@studenti.its.net;Diploma
10126;Pavalean;Stefan;06/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000126;pavalean.stefan@studenti.its.net;Diploma
10127;Pignataro;Chiara;07/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000127;pignataro.chiara@studenti.its.net;Diploma
10128;Ricauda aimonino;Anna;08/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000128;ricaudaaimonino.anna@studenti.its.net;Diploma
10129;Rossi;Benedetta;09/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000129;rossi.benedetta@studenti.its.net;Diploma
10130;Santo;Beatrice;10/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000130;santo.beatrice@studenti.its.net;Diploma
10131;Vasii;Lucas Nicolas;11/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000131;vasii.lucasnicolas@studenti.its.net;Diploma
10132;Zaza;Alysia;12/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000132;zaza.alysia@studenti.its.net;Diploma
10133;Artino;Linda;13/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000133;artino.linda@studenti.its.net;Diploma
10134;Capuzzo;Rebecca;14/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000134;capuzzo.rebecca@studenti.its.net;Diploma
10135;Crisafi;Sofia;15/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000135;crisafi.sofia@studenti.its.net;Diploma
10136;D'amuri;Matteo;16/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000136;damuri.matteo@studenti.its.net;Diploma
10137;Kchimi;Adem;17/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000137;kchimi.adem@studenti.its.net;Diploma
10138;Muzzioli;Viola;18/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000138;muzzioli.viola@studenti.its.net;Diploma
10139;Bevilacqua;Chiara;19/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000139;bevilacqua.chiara@studenti.its.net;Diploma
10140;Curatolo;Sofia Sole;20/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000140;curatolo.sofiasole@studenti.its.net;Diploma
10141;Listello;Federico;21/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000141;listello.federico@studenti.its.net;Diploma
10142;Matera;Elia;22/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000142;matera.elia@studenti.its.net;Diploma
10143;Vogogna;Aurora;23/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000143;vogogna.aurora@studenti.its.net;Diploma
10144;Ciocatto;Giorgia;24/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000144;ciocatto.giorgia@studenti.its.net;Diploma
10145;De cristofaro;Beatrice;25/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000145;decristofaro.beatrice@studenti.its.net;Diploma
10146;Foco;Tommaso;26/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000146;foco.tommaso@studenti.its.net;Diploma
10147;Viarengo;Nicolo;27/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000147;viarengo.nicolo@studenti.its.net;Diploma
10148;Bruno;Edoardo;28/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000148;bruno.edoardo@studenti.its.net;Diploma
10149;Cosa;Denis Dimitrie;29/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000149;cosa.denisdimitrie@studenti.its.net;Diploma
10150;Kuci malygin;Emanuel;30/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000150;kucimalygin.emanuel@studenti.its.net;Diploma
10151;Perri;Pietro;31/05/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000151;perri.pietro@studenti.its.net;Diploma
10152;Savarino;Alessio;01/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000152;savarino.alessio@studenti.its.net;Diploma
10153;Celenta;Chiara;02/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000153;celenta.chiara@studenti.its.net;Diploma
10154;Giribuola;Martina;03/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000154;giribuola.martina@studenti.its.net;Diploma
10155;Gregna;Leandra;04/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000155;gregna.leandra@studenti.its.net;Diploma
10156;Marchitiello;Beatrice;05/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000156;marchitiello.beatrice@studenti.its.net;Diploma
10157;Pisciottano;Olivia;06/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000157;pisciottano.olivia@studenti.its.net;Diploma
10158;Tancorre;Edoardo;07/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000158;tancorre.edoardo@studenti.its.net;Diploma
10159;Villano;Emma;08/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000159;villano.emma@studenti.its.net;Diploma
10160;Viterbo;Federico;09/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000160;viterbo.federico@studenti.its.net;Diploma
10161;Codispoti;Alessia;10/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000161;codispoti.alessia@studenti.its.net;Diploma
10162;Agazzi;Rachele;11/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000162;agazzi.rachele@studenti.its.net;Diploma
10163;Abbate;Antonina;12/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000163;abbate.antonina@studenti.its.net;Diploma
10164;Agliassa;Alessandro;13/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000164;agliassa.alessandro@studenti.its.net;Diploma
10165;Bolognino;Sole;14/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000165;bolognino.sole@studenti.its.net;Diploma
10166;Alemanno;Enea;15/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000166;alemanno.enea@studenti.its.net;Diploma
10167;Agasso;Maria Ausilia;16/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000167;agasso.mariaausilia@studenti.its.net;Diploma
10168;Aimassi;Valentina;17/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000168;aimassi.valentina@studenti.its.net;Diploma
10169;Albano;Martina;18/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000169;albano.martina@studenti.its.net;Diploma
10170;Amabene;Greta;19/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000170;amabene.greta@studenti.its.net;Diploma
10171;Arattano;Alberto;20/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000171;arattano.alberto@studenti.its.net;Diploma
10172;Ambrosini;Eleonora Vittoria;21/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000172;ambrosini.eleonoravittoria@studenti.its.net;Diploma
10173;Arini;Denise;22/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000173;arini.denise@studenti.its.net;Diploma
10174;Badalamenti;Mario;23/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000174;badalamenti.mario@studenti.its.net;Diploma
10175;Alecce;Leonardo;24/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000175;alecce.leonardo@studenti.its.net;Diploma
10176;Billeci;Giada;25/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000176;billeci.giada@studenti.its.net;Diploma
10177;Allasia;Marina;26/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000177;allasia.marina@studenti.its.net;Diploma
10178;Brunatto;Matilde;27/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000178;brunatto.matilde@studenti.its.net;Diploma
10179;Alloggio;Noemi;28/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000179;alloggio.noemi@studenti.its.net;Diploma
10180;Albrile;Giorgio;29/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000180;albrile.giorgio@studenti.its.net;Diploma
10181;Arattano;Simone;30/06/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000181;arattano.simone@studenti.its.net;Diploma
10182;Bertolotto;Diawaka;01/07/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000182;bertolotto.diawaka@studenti.its.net;Diploma
10183;Avena;Ines;02/07/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000183;avena.ines@studenti.its.net;Diploma
10184;Antoniazzi;Alessio;03/07/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000184;antoniazzi.alessio@studenti.its.net;Diploma
10185;Barbero;Samuele;04/07/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000185;barbero.samuele@studenti.its.net;Diploma
10186;Amedeo;Daniela;05/07/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000186;amedeo.daniela@studenti.its.net;Diploma
10187;Baietto;Rebecca;06/07/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000187;baietto.rebecca@studenti.its.net;Diploma
10188;Barbarossa;Alessandro Salvatore;07/07/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000188;barbarossa.alessandrosalvatore@studenti.its.net;Diploma
